id,author_id,category_id,title,description,community_impact,nature_impact,arts_impact,energy_impact,manufacturing_impact,state,active,created_at,updated_at,champion_id,segment_id,sub_segment_id,userType,image_path,super_segment_id,supporting_proposal_id,banned,reviewed,notification_dismissed,quarantined_at,proposal_benefits,proposal_role,requirements
89,cll12pyle001klg06em4rz6x3,1,Uptown Zero Waste Day,"Setup up a day with the goal of creating zero waste for all business and patrons of the Uptown complex activities for that day.  All waste streams are diverted to recycling and re-use, as well as trying out new behaviors for eliminating sources of need of waste.",,,Education on waste reduction strategies,,Reducing Waste,PROPOSAL,True,2023-08-07 16:26:13.953,2023-08-07 16:26:13.953,,2.0,4.0,Resident,1691425573596-zero-waste.jpg,1,,False,False,False,2023-08-07 16:26:13.951,"Education for the entire community on how to convert to a zero waste process, adoption of new behaviors",Network Potential Consulting is a local business focused on assisting customer's with creating zero impact solutions.,Volunteers for an organization and coordination committee will be needed.
90,cll12i0mm0014lg06nd1pxls6,2,Park Amenity Fund,Looking for the best and highest rate ideas to provide funds and expertise to make happen.,Improve community spaces,,,,,PROPOSAL,True,2023-08-07 16:42:13.066,2023-08-07 16:42:13.066,,1.0,,Resident,,1,,False,False,False,2023-08-07 16:42:13.063,Improved park amenities and community input on what those would be.,"Our organization is offering $10,000 to fund park amenities in the community",Ideas need to be proposed by the community.
91,cll12i0mm0014lg06nd1pxls6,3,Downtown Food Garden Boxes,Build and setup garden boxes in the downtown core for local food production.,Create spaces for gardening,Local food supply,Community learning opportunity on growing food,,,PROPOSAL,True,2023-08-07 16:44:57.683,2023-08-07 16:44:57.683,,1.0,6.0,Resident,,1,,False,False,False,2023-08-07 16:44:57.681,"Ability for residents to work together to grow in local garden boxes, and benefit from a local low cost food supply.",MyLivingCity is a Victoria Based non profit dedicated to creating a more sustainable community.,"In order to complete this project, an organizing committee will be needed, along with several volunteers to participate in a build weekend, as well as carpentry tools and lumber."
92,cll13zcwk0020lg06c4p76dni,3,Campus Improvement Grant,"A $10,000 campus improvement grand has been provided and looking for proposals on what initiatives to fund that would benefit the campus population by create public amenities that would improve social and environmental sustainability.",Improvements to the UVic public environment,,,,,PROPOSAL,True,2023-08-07 16:52:32.547,2023-08-07 16:52:32.547,,2.0,5.0,Resident,,1,,False,False,False,2023-08-07 16:52:32.545,Increase of social and environmental sustainability of the campus environment.,"The UVic Council is a not for profit organization representing the interest of the UVIC population, and liaising with the UVic Administration.",Submit idea posts by clicking the link below.
93,clkzvrj2s000olg06ehcaf0b0,3,On Campus Bike Repair Centre,Setup a bike repair centre on campus offering repair and tune up services,Support human powered transportation,,,,,IDEA,True,2023-08-07 17:53:54.729,2023-08-07 17:53:54.729,,2.0,,Resident,1691430834382-campus bike repair shop.jpeg,1,24.0,False,False,False,2023-08-07 17:53:54.725,,,
94,cll12cnah000wlg06qcz64hu1,2,Community Compost and Recycling Centre,"Create a small corner of the local school property for a community compost station for dropping off food scraps and making compost, as well as picking up compost for use in gardens. The station could be run with volunteers and students to learn about composting from a expert mentor.",A space for community engagement and working together,,Space for learning about compost from other community members,,Turning waste into valuable compost for gardens,IDEA,True,2023-08-07 17:56:36.811,2023-08-07 17:56:36.811,,1.0,,Resident,,1,,False,False,False,2023-08-07 17:56:36.808,,,
95,cll19ee6a00009jo47kq8ou80,2,SubSegment Test 1,Test for subsegment,,,,,,IDEA,True,2023-08-07 19:32:18.339,2023-08-07 19:32:18.339,,,,Resident,,1,,False,False,False,2023-08-07 19:32:18.337,,,
96,cll19ee6a00009jo47kq8ou80,2,SubSegment Test 2,Test 2,,,,,,IDEA,True,2023-08-07 19:33:38.855,2023-08-07 19:33:38.855,,,,Resident,,1,,False,False,False,2023-08-07 19:33:38.853,,,
97,cll19ee6a00009jo47kq8ou80,2,Subsegment Proposal Test 1,Test for subsegment,,,,,,PROPOSAL,True,2023-08-07 19:37:18.010,2023-08-07 19:37:18.010,,,,Resident,,1,,False,False,False,2023-08-07 19:37:18.008,,,
98,cll19ee6a00009jo47kq8ou80,3,Test,Test of Ref09,,,,,,IDEA,True,2023-08-08 16:23:39.294,2023-08-08 16:23:39.294,,,,Resident,,1,25.0,False,False,False,2023-08-08 16:23:39.290,,,
99,cll19ee6a00009jo47kq8ou80,1,Test Idea Ref09,Ref09,,,,,,IDEA,True,2023-08-08 16:24:17.279,2023-08-08 16:24:17.279,,4.0,,Resident,,1,,False,False,False,2023-08-08 16:24:17.277,,,
100,cll19ee6a00009jo47kq8ou80,1,R015,R015 Test,,,,,,IDEA,True,2023-08-08 16:26:04.968,2023-08-08 16:26:04.968,,4.0,,Resident,,1,,False,False,False,2023-08-08 16:26:04.964,,,
101,cll19ee6a00009jo47kq8ou80,1,Test R015,Test R015,,,,,,IDEA,True,2023-08-08 16:28:13.450,2023-08-08 16:28:13.450,,,,Resident,,1,,False,False,False,2023-08-08 16:28:13.447,,,
102,cll19ee6a00009jo47kq8ou80,1,Test R015,Test R015,,,,,,IDEA,True,2023-08-08 16:28:45.134,2023-08-08 16:28:45.134,,,,Resident,,1,,False,False,False,2023-08-08 16:28:45.132,,,
103,cll19ee6a00009jo47kq8ou80,1,R015 UVIC,R015 UVIC selected,,,,,,IDEA,True,2023-08-08 16:29:28.611,2023-08-08 16:29:28.611,,4.0,,Resident,,1,,False,False,False,2023-08-08 16:29:28.609,,,
104,cll2j6gvw0000usnkmwe0bezb,1,Capstone Symposium,The Camosun Capstone Technology Symposium showcases student projects in partnership with industry sponsors.,,,,,,IDEA,True,2023-08-08 16:45:28.733,2023-08-08 16:45:28.733,,2.0,,Resident,,1,,False,False,False,2023-08-08 16:45:28.729,,,
105,cll2j6gvw0000usnkmwe0bezb,2,Test Idea of SubSegments,Tested Idea,,,,,,IDEA,True,2023-08-08 16:53:51.963,2023-08-08 16:53:51.963,,2.0,,Resident,,1,,False,False,False,2023-08-08 16:53:51.960,,,
106,cll2j6gvw0000usnkmwe0bezb,1,Test Idea for Sub Segement 2,testing,,,,,,IDEA,True,2023-08-08 17:01:44.457,2023-08-08 17:01:44.457,,2.0,,Resident,,1,,False,False,False,2023-08-08 17:01:44.453,,,
